iter	Passed	Remaining
0	62	62072
1	62	31326
2	63	21066
3	63	15914
4	64	12822
5	64	10763
6	65	9304
7	66	8207
8	66	7350
9	67	6662
10	67	6100
11	68	5636
12	69	5242
13	69	4899
14	70	4604
15	70	4347
16	71	4117
17	71	3913
18	72	3731
19	72	3568
20	73	3421
21	73	3287
22	74	3163
23	75	3050
24	75	2946
25	76	2850
26	76	2759
27	77	2682
28	77	2609
29	78	2543
30	79	2475
31	79	2411
32	80	2350
33	80	2293
34	81	2240
35	81	2189
36	82	2141
37	82	2096
38	83	2053
39	83	2012
40	84	1973
41	84	1936
42	85	1900
43	85	1866
44	86	1833
45	86	1803
46	87	1773
47	87	1744
48	88	1718
49	89	1697
50	90	1677
51	90	1652
52	91	1629
53	91	1606
54	92	1584
55	92	1563
56	93	1542
57	93	1524
58	94	1504
59	94	1485
60	95	1467
61	95	1449
62	96	1431
63	96	1416
64	97	1400
65	97	1384
66	98	1369
67	98	1351
68	99	1336
69	99	1322
70	100	1309
71	100	1299
72	101	1287
73	101	1275
74	102	1263
75	102	1252
76	103	1240
77	104	1229
78	104	1218
79	105	1207
80	105	1197
81	105	1186
82	106	1176
83	107	1166
84	107	1156
85	108	1147
86	108	1137
87	108	1128
88	109	1119
89	109	1112
90	110	1103
91	110	1095
92	111	1087
93	112	1079
94	112	1072
95	113	1065
96	113	1058
97	114	1051
98	114	1044
99	115	1037
100	115	1030
101	116	1021
102	116	1014
103	117	1008
104	117	1002
105	118	995
106	118	989
107	119	984
108	119	979
109	120	973
110	120	967
111	121	961
112	121	955
113	122	950
114	122	944
115	123	938
116	123	933
117	124	928
118	124	922
119	125	917
120	125	913
121	126	908
122	126	902
123	127	897
124	127	892
125	128	888
126	128	883
127	128	878
128	129	874
129	129	869
130	130	865
131	130	861
132	131	857
133	131	853
134	132	848
135	132	844
136	133	840
137	133	836
138	134	832
139	134	828
140	135	825
141	135	821
142	136	817
143	136	814
144	137	812
145	138	809
146	138	806
147	139	802
148	139	799
149	140	795
150	140	792
151	141	789
152	142	786
153	142	782
154	143	779
155	143	776
156	144	773
157	144	770
158	145	767
159	145	764
160	146	761
161	146	758
162	147	755
163	147	752
164	148	749
165	148	746
166	149	743
167	149	741
168	150	739
169	151	737
170	151	734
171	152	732
172	152	730
173	153	727
174	153	724
175	154	722
176	154	719
177	155	717
178	155	714
179	156	712
180	156	708
181	157	706
182	157	703
183	158	701
184	158	698
185	159	696
186	159	694
187	160	692
188	160	689
189	161	688
190	162	686
191	162	684
192	163	682
193	163	680
194	164	678
195	164	676
196	165	673
197	165	671
198	166	669
199	166	667
200	167	665
201	167	663
202	168	661
203	168	659
204	169	656
205	169	655
206	170	653
207	171	651
208	171	649
209	172	647
210	172	645
211	173	643
212	173	642
213	174	641
214	175	640
215	175	638
216	176	637
217	177	635
218	177	633
219	178	632
220	178	630
221	179	628
222	180	627
223	180	625
224	181	623
225	181	622
226	182	620
227	182	618
228	183	616
229	183	614
230	184	613
231	184	611
232	185	609
233	185	607
234	186	606
235	186	604
236	187	603
237	187	601
238	188	599
239	188	598
240	189	596
241	189	594
242	190	592
243	190	591
244	191	589
245	191	587
246	192	586
247	192	584
248	193	582
249	193	581
250	194	579
251	194	578
252	195	576
253	195	575
254	196	573
255	196	571
256	197	570
257	197	568
258	198	567
259	198	566
260	199	565
261	200	563
262	200	562
263	201	560
264	201	559
265	202	557
266	202	556
267	203	554
268	203	553
269	204	551
270	204	550
271	205	549
272	205	547
273	206	546
274	206	544
275	207	543
276	207	542
277	208	540
278	208	539
279	209	537
280	209	536
281	210	535
282	210	534
283	211	533
284	211	531
285	212	530
286	212	529
287	213	527
288	214	526
289	214	525
290	215	523
291	215	522
292	216	521
293	216	520
294	217	519
295	217	517
296	218	516
297	218	515
298	219	514
299	219	512
300	220	511
301	220	510
302	221	509
303	221	507
304	222	506
305	222	505
306	223	505
307	224	503
308	224	502
309	225	501
310	225	500
311	226	499
312	226	497
313	227	496
314	227	495
315	228	494
316	228	493
317	229	491
318	229	490
319	230	489
320	230	488
321	231	486
322	231	485
323	232	484
324	232	483
325	233	482
326	233	481
327	234	480
328	235	479
329	235	478
330	236	477
331	236	475
332	237	474
333	237	473
334	238	472
335	238	471
336	239	470
337	239	469
338	240	468
339	240	467
340	241	466
341	241	464
342	242	463
343	242	462
344	243	461
345	243	460
346	244	459
347	244	458
348	245	457
349	245	456
350	246	455
351	246	454
352	247	453
353	247	452
354	248	451
355	248	450
356	249	449
357	249	448
358	250	447
359	250	446
360	251	445
361	251	443
362	252	442
363	252	441
364	253	440
365	253	439
366	254	438
367	254	437
368	255	436
369	255	435
370	256	434
371	256	433
372	257	432
373	257	431
374	258	430
375	259	429
376	259	429
377	260	428
378	260	427
379	261	426
380	261	425
381	262	424
382	262	423
383	263	422
384	263	421
385	264	420
386	264	419
387	265	418
388	265	417
389	266	416
390	266	415
391	267	414
392	267	413
393	268	412
394	268	411
395	269	410
396	269	409
397	270	408
398	271	408
399	271	407
400	272	406
401	272	405
402	273	404
403	273	403
404	274	403
405	274	402
406	275	401
407	275	400
408	276	399
409	276	398
410	277	397
411	277	396
412	278	395
413	279	394
414	279	394
415	280	393
416	280	392
417	281	391
418	281	390
419	282	389
420	282	388
421	283	388
422	284	387
423	284	386
424	285	385
425	285	385
426	286	384
427	286	383
428	287	382
429	287	381
430	288	380
431	288	379
432	289	379
433	290	378
434	290	377
435	291	376
436	291	375
437	292	374
438	292	373
439	293	373
440	293	372
441	294	371
442	294	370
443	295	369
444	295	368
445	296	368
446	296	367
447	297	366
448	297	365
449	298	364
450	298	363
451	299	363
452	300	362
453	300	361
454	301	360
455	301	359
456	302	358
457	302	358
458	303	357
459	303	356
460	304	355
461	304	354
462	305	353
463	305	353
464	306	352
465	306	351
466	307	350
467	308	350
468	308	349
469	309	348
470	309	347
471	310	346
472	310	346
473	311	345
474	311	344
475	312	343
476	312	343
477	313	342
478	313	341
479	314	340
480	314	339
481	315	338
482	315	338
483	316	337
484	316	336
485	317	335
486	317	334
487	318	334
488	319	333
489	319	332
490	320	332
491	320	331
492	321	330
493	321	329
494	322	328
495	322	328
496	323	327
497	324	326
498	324	325
499	325	325
500	325	324
501	326	323
502	326	322
503	327	321
504	327	321
505	328	320
506	328	319
507	329	318
508	329	318
509	330	317
510	330	316
511	331	316
512	332	315
513	332	314
514	333	314
515	334	313
516	334	312
517	335	311
518	335	311
519	336	310
520	336	309
521	337	308
522	337	308
523	338	307
524	338	306
525	339	305
526	339	304
527	340	304
528	340	303
529	341	302
530	341	301
531	342	301
532	342	300
533	343	299
534	343	298
535	344	298
536	344	297
537	345	296
538	346	296
539	346	295
540	347	294
541	347	293
542	348	293
543	348	292
544	349	291
545	350	291
546	350	290
547	351	289
548	351	288
549	352	288
550	352	287
551	353	286
552	354	286
553	354	285
554	355	284
555	355	283
556	356	283
557	356	282
558	357	281
559	357	281
560	358	280
561	358	279
562	359	278
563	359	278
564	360	277
565	360	276
566	361	275
567	361	275
568	362	274
569	362	273
570	363	272
571	363	272
572	364	271
573	364	270
574	365	270
575	365	269
576	366	268
577	366	267
578	367	267
579	367	266
580	368	265
581	369	265
582	369	264
583	370	263
584	370	262
585	371	262
586	371	261
587	372	260
588	372	260
589	373	259
590	373	258
591	374	257
592	374	257
593	375	256
594	375	255
595	376	254
596	376	254
597	377	253
598	377	252
599	378	252
600	378	251
601	379	250
602	379	249
603	380	249
604	380	248
605	381	247
606	381	247
607	382	246
608	382	245
609	383	244
610	383	244
611	384	243
612	384	242
613	385	242
614	385	241
615	386	240
616	386	239
617	387	239
618	387	238
619	388	237
620	388	237
621	389	236
622	389	235
623	390	235
624	390	234
625	391	233
626	391	233
627	392	232
628	392	231
629	393	230
630	393	230
631	394	229
632	394	228
633	395	228
634	395	227
635	396	226
636	396	226
637	397	225
638	397	224
639	398	224
640	398	223
641	399	222
642	399	221
643	400	221
644	400	220
645	401	219
646	401	219
647	402	218
648	402	217
649	403	217
650	403	216
651	404	215
652	404	215
653	405	214
654	405	213
655	406	213
656	406	212
657	407	211
658	407	211
659	408	210
660	408	209
661	409	209
662	409	208
663	410	207
664	410	206
665	411	206
666	412	205
667	412	205
668	413	204
669	413	203
670	414	203
671	414	202
672	415	201
673	415	201
674	416	200
675	416	199
676	417	199
677	417	198
678	418	197
679	418	197
680	419	196
681	419	195
682	420	195
683	421	194
684	421	193
685	422	193
686	422	192
687	423	191
688	423	191
689	424	190
690	424	189
691	425	189
692	425	188
693	426	187
694	426	187
695	427	186
696	427	185
697	428	185
698	428	184
699	429	184
700	429	183
701	430	182
702	430	182
703	431	181
704	431	180
705	432	180
706	432	179
707	433	178
708	433	178
709	434	177
710	434	176
711	435	176
712	435	175
713	436	174
714	436	174
715	437	173
716	437	172
717	438	172
718	438	171
719	439	170
720	439	170
721	440	169
722	440	168
723	441	168
724	441	167
725	442	166
726	442	166
727	443	165
728	443	165
729	444	164
730	445	163
731	445	163
732	446	162
733	446	161
734	447	161
735	447	160
736	448	159
737	448	159
738	449	158
739	449	158
740	450	157
741	450	156
742	451	156
743	451	155
744	452	154
745	452	154
746	453	153
747	453	152
748	454	152
749	454	151
750	455	150
751	455	150
752	456	149
753	456	149
754	457	148
755	457	147
756	458	147
757	458	146
758	459	145
759	459	145
760	460	144
761	460	143
762	461	143
763	461	142
764	462	142
765	462	141
766	463	140
767	463	140
768	464	139
769	464	138
770	465	138
771	465	137
772	466	136
773	466	136
774	467	135
775	467	135
776	468	134
777	469	133
778	469	133
779	470	132
780	470	131
781	471	131
782	471	130
783	472	130
784	472	129
785	473	128
786	473	128
787	474	127
788	474	126
789	475	126
790	475	125
791	476	125
792	476	124
793	477	123
794	477	123
795	478	122
796	478	121
797	479	121
798	479	120
799	480	120
800	480	119
801	481	118
802	481	118
803	482	117
804	482	116
805	483	116
806	483	115
807	484	115
808	484	114
809	485	113
810	485	113
811	486	112
812	486	112
813	487	111
814	488	110
