iter	Passed	Remaining
0	53	53812
1	54	27395
2	55	18445
3	56	13965
4	56	11277
5	57	9478
6	57	8210
7	59	7331
8	59	6600
9	60	5994
10	61	5497
11	61	5090
12	62	4743
13	63	4451
14	64	4206
15	64	3975
16	65	3769
17	65	3584
18	66	3417
19	66	3267
20	67	3133
21	67	3020
22	68	2927
23	69	2824
24	69	2728
25	70	2639
26	70	2556
27	71	2479
28	71	2408
29	73	2363
30	73	2308
31	74	2249
32	74	2194
33	75	2141
34	75	2091
35	76	2044
36	76	2000
37	77	1962
38	78	1930
39	78	1895
40	79	1858
41	79	1823
42	80	1790
43	80	1759
44	81	1728
45	81	1700
46	84	1710
47	84	1683
48	85	1657
49	85	1632
50	86	1609
51	87	1586
52	88	1573
53	88	1556
54	89	1536
55	89	1515
56	90	1496
57	90	1477
58	91	1459
59	92	1443
60	92	1431
61	93	1418
62	94	1401
63	94	1385
64	95	1370
65	95	1354
66	96	1340
67	96	1325
68	97	1318
69	98	1306
70	98	1292
71	99	1280
72	99	1268
73	100	1256
74	100	1244
75	101	1233
76	102	1224
77	102	1216
78	103	1206
79	103	1195
80	104	1184
81	104	1174
82	105	1162
83	105	1152
84	106	1143
85	106	1134
86	107	1129
87	108	1121
88	108	1112
89	109	1104
90	109	1096
91	110	1088
92	110	1079
93	111	1072
94	111	1064
95	114	1073
96	114	1066
97	115	1059
98	115	1051
99	116	1044
100	116	1036
101	117	1030
102	118	1029
103	118	1024
104	119	1018
105	119	1011
106	120	1005
107	120	998
108	121	992
109	121	986
110	122	982
111	123	976
112	123	971
113	124	965
114	124	959
115	125	954
116	125	947
117	126	942
118	126	937
119	127	934
120	128	930
121	128	925
122	129	921
123	129	916
124	130	911
125	130	906
126	131	901
127	131	896
128	132	892
129	132	889
130	133	886
131	134	881
132	134	877
133	135	872
134	135	868
135	136	864
136	136	861
137	137	857
138	137	853
139	138	849
140	138	845
141	139	840
142	139	837
143	140	833
144	140	830
145	141	827
146	142	824
147	144	830
148	144	827
149	145	824
150	145	820
151	146	817
152	146	813
153	147	811
154	148	809
155	149	806
156	149	803
157	150	800
158	150	797
159	151	793
160	151	789
161	152	786
162	152	784
163	153	781
164	153	779
165	154	775
166	154	772
167	155	769
168	155	766
169	156	763
170	156	760
171	157	760
172	158	757
173	159	755
174	159	752
175	160	749
176	160	746
177	161	743
178	161	741
179	162	740
180	163	738
181	163	736
182	164	733
183	164	731
184	165	728
185	165	725
186	166	723
187	166	720
188	167	717
189	168	716
190	168	715
191	169	713
192	169	710
193	170	708
194	171	706
195	171	703
196	172	701
197	172	698
198	173	699
199	174	697
200	174	694
201	175	692
202	175	689
203	176	687
204	176	685
205	177	683
206	177	681
207	178	680
208	179	678
209	179	677
210	180	674
211	181	672
212	181	670
213	182	668
214	182	667
215	183	666
216	184	664
217	184	662
218	185	660
219	185	658
220	186	656
221	186	654
222	187	652
223	188	651
224	188	649
225	189	647
226	189	645
227	190	643
228	190	641
229	191	640
230	191	638
231	192	636
232	192	635
233	193	633
234	194	632
235	194	630
236	195	628
237	195	626
238	196	624
239	196	622
240	197	620
241	197	619
242	198	618
243	199	617
244	199	615
245	200	613
246	200	612
247	201	610
248	201	608
249	202	606
250	202	604
251	205	608
252	205	606
253	206	605
254	206	603
255	207	601
256	207	600
257	208	599
258	209	598
259	210	598
260	210	596
261	211	595
262	211	593
263	212	591
264	212	590
265	213	589
266	214	588
267	214	586
268	215	585
269	215	583
270	216	581
271	216	580
272	217	578
273	217	576
274	218	576
275	219	575
276	220	574
277	220	572
278	221	571
279	221	569
280	222	568
281	222	566
282	223	566
283	224	565
284	224	563
285	225	562
286	225	560
287	226	559
288	226	557
289	227	556
290	227	555
291	228	553
292	229	552
293	229	551
294	230	550
295	230	548
296	231	547
297	232	546
298	232	545
299	234	548
300	235	546
301	235	545
302	236	543
303	236	542
304	237	541
305	238	540
306	239	539
307	239	538
308	240	537
309	240	536
310	241	534
311	241	533
312	242	531
313	242	530
314	243	529
315	244	528
316	244	527
317	245	525
318	245	524
319	246	523
320	246	521
321	247	520
322	247	518
323	248	517
324	248	516
325	249	515
326	249	514
327	250	513
328	250	511
329	251	510
330	251	509
331	252	507
332	252	506
333	253	505
334	254	504
335	254	503
336	255	502
337	255	500
338	256	499
339	256	498
340	257	497
341	257	495
342	258	495
343	259	493
344	259	492
345	260	491
346	260	490
347	261	489
348	261	487
349	261	486
350	262	485
351	262	484
352	266	487
353	266	486
354	266	485
355	267	483
356	268	483
357	269	482
358	269	482
359	270	481
360	271	479
361	271	478
362	272	477
363	272	476
364	273	475
365	274	475
366	274	474
367	275	472
368	275	471
369	276	470
370	276	469
371	277	468
372	277	467
373	278	466
374	279	465
375	279	464
376	280	463
377	281	462
378	281	461
379	282	460
380	282	459
381	283	458
382	284	457
383	284	456
384	285	455
385	285	454
386	286	453
387	286	452
388	287	451
389	287	450
390	288	449
391	289	448
392	290	448
393	290	447
394	291	446
395	291	444
396	292	443
397	292	442
398	293	441
399	294	441
400	295	440
401	295	439
402	296	438
403	296	437
404	297	436
405	297	435
406	298	434
407	298	433
408	301	435
409	301	434
410	302	433
411	302	432
412	303	430
413	303	430
414	304	429
415	305	428
416	305	427
417	306	426
418	306	425
419	307	424
420	307	423
421	308	422
422	309	422
423	310	421
424	310	420
425	311	419
426	311	418
427	311	416
428	312	415
429	312	414
430	313	414
431	314	413
432	315	412
433	315	411
434	316	410
435	316	409
436	317	408
437	317	407
438	318	406
439	318	405
440	319	405
441	320	404
442	320	403
443	321	402
444	321	401
445	322	400
446	322	399
447	323	398
448	325	399
449	326	398
450	326	397
451	327	396
452	327	395
453	328	394
454	329	394
455	330	393
456	330	393
457	331	392
458	331	391
459	332	390
460	332	389
461	333	388
462	333	387
463	334	386
464	335	385
465	335	384
466	336	383
467	336	382
468	337	381
469	337	380
470	338	379
471	338	378
472	339	378
473	339	377
474	340	376
475	341	375
476	341	374
477	342	373
478	342	372
479	343	371
480	343	370
481	344	369
482	345	369
483	345	368
484	346	367
485	346	366
486	347	365
487	347	364
488	348	363
489	348	362
490	349	361
491	349	361
492	350	360
493	351	359
494	351	358
495	351	357
496	352	356
497	352	355
498	353	354
499	353	353
500	356	355
501	357	354
502	357	353
503	358	352
504	358	351
505	359	350
506	361	351
507	362	350
508	362	349
509	363	348
510	363	347
511	364	347
512	364	346
513	365	345
514	366	344
515	366	343
516	367	342
517	367	341
518	367	341
519	368	340
520	368	339
521	369	338
522	370	337
523	370	336
524	371	335
525	371	334
526	372	334
527	372	333
528	373	332
529	373	331
530	374	330
531	374	329
532	375	329
533	376	328
534	376	327
535	377	326
536	377	325
537	378	324
538	378	323
539	379	322
540	379	322
541	380	321
542	381	320
543	381	319
544	382	319
545	382	318
546	383	317
547	383	316
548	384	315
549	386	316
550	386	315
551	387	314
552	387	313
553	388	312
554	388	311
555	389	310
556	390	310
557	391	310
558	391	309
559	392	308
560	392	307
561	393	306
562	393	305
563	394	304
564	394	304
565	395	303
566	396	302
567	396	301
568	397	300
569	397	299
570	398	299
571	398	298
572	399	297
573	399	296
574	400	296
575	401	295
576	401	294
577	402	293
578	402	292
579	403	291
580	403	291
581	404	290
582	404	289
583	405	288
584	405	287
585	406	287
586	407	286
587	407	285
588	408	284
589	408	283
590	409	283
591	409	282
592	410	281
593	411	281
594	411	280
595	412	279
596	412	278
597	413	277
598	413	277
599	414	276
600	414	275
601	415	274
602	416	274
603	416	273
604	417	272
605	417	271
606	418	270
607	419	270
608	419	269
609	420	268
610	421	268
611	421	267
612	422	266
613	423	266
614	423	265
615	424	264
616	424	263
617	425	263
618	426	262
619	426	261
620	427	260
621	427	260
622	428	259
623	428	258
624	429	257
625	429	256
626	430	256
627	431	255
628	431	254
629	432	253
630	432	253
631	433	252
632	433	251
633	434	250
634	434	249
635	435	249
636	436	248
637	436	247
638	437	247
639	437	246
640	438	245
641	438	244
642	439	243
643	439	243
644	440	242
645	441	241
646	442	241
647	442	240
648	443	239
649	443	238
650	444	238
651	444	237
652	445	236
653	448	237
654	448	236
655	449	235
656	449	234
657	450	233
658	451	233
659	452	232
660	452	232
661	453	231
662	453	230
663	454	229
664	454	229
665	455	228
666	456	227
667	457	227
668	457	226
669	458	225
670	458	224
671	459	224
672	459	223
673	460	222
674	460	221
675	461	221
676	462	220
677	462	219
678	463	219
679	464	218
680	464	217
681	465	216
682	465	216
683	466	215
684	467	214
685	467	214
